PatentID	Example	Production
JP2014-089352	Example01P	Sony E 35mm F1.8 OSS
JP2014-126652	Example03P	Sigma 50mm F2.8 (dp3 Merrill/Quattro)
JP2014-142520	Example01P	Sigma 30mm F1.4 DC HSM Art
JP2014-145954	Example01P	Sigma 60mm F2.8 DN A
JP2014-209144	Example02P	Nikon AF-S Nikkor 200-500mm f/5.6E ED VR
JP2015-031869	Example01P	Canon EF-S10-18mm f4.5-5.6 IS STM
JP2015-041003	Example01MLP	Nikon AF-S Nikkor 50mm f/1.4G
JP2015-041012	Example01P	Sony Sonnar T* FE 35mm F2.8 ZA
JP2015-075501	Example01P	Olympus M.Zuiko 25mm F1.8
JP2015-096915	Example02P	Zeiss Batis 1.8 / 85
JP2015-102734	Example01MLP	Nikon AF-S Nikkor 300mm f/2.8D IF-ED II
JP2015-102734	Example01TCP	Nikon AF-S Teleconverter TC-14E III
JP2015-111192	Example01P	Canon EF-S24mm f2.8 STM
JP2015-114366	Example01P	Sigma 50mm F1.4 DG HSM Art
JP2015-161792	Example01P	Zeiss Touit 2.8 50M
JP2015-166834	Example01P	Sony Vario-Tessar T FE 16-35mm F4 ZA OSS
JP2015-203827	Example01P	Sigma 150-600mm F5-6.3 DG OS HSM Sport
JP2015-215560	Example01P	Nikon AF-S Nikkor 500mm f/4E FL ED VR
JP2016-006455	Example02P	Ricoh HD Pentax-DA 18-50mm F4.0-5.6 DC WR RE
JP2016-012034	Example01P	Sigma 24mm F1.4 DG HSM Art
JP2016-021011	Example04P	Nikon AF-S Nikkor 20mm f/1.8G ED
JP2016-080825	Example02P	Sigma 150-600mm F5-6.3 DG OS HSM C
JP2016-090725	Example09P	Leica APO-Macro-Elmarit-TL 60mm F2.8
JP2016-099362	Example06P	Olympus M.Zuiko ED 30mm F3.5 Macro
JP2016-114800	Example01P	Ricoh HD Pentax-DA 16-85mm F3.5-5.6ED DC WR
JP2016-118658	Example08P	Canon EF-M15-45mm f3.5-6.3 IS STM
JP2016-133764	Example06P	Leica Super-Vario-Elmar-TL 11-23mm F3.5-4.5 Asph
JP2016-139087	Example02P	Sigma 14mm F4 (dp0 Quattro)
JP2016-139125	Example01P	Leica APO-Vario-Elmarit-SL 90-280mm f/2.8-4
JP2016-184136	Example07P	Olympus M.Zuiko ED 8mm F1.8 Fisheye
JP2016-188967	Example01P	Zeiss Batis 2.8 / 18
JP2017-003807	Example04P	Nikon AF-S Nikkor 24mm f/1.8G ED
JP2017-090535	Example01P	Olympus M.Zuiko ED 12-100mm f4.0 IS PRO
JP2017-116646	Example01P	Tamron 18-400mm F/3.5-6.3 Di II VC HLD
JP2017-156719	Example01P	Sigma 24-70mm F2.8 DG OS HSM A
JP2017-161685	Example02P	Nikon PC Nikkor 19mm f/4E ED
JP2017-161933	Example01P	Canon EF-M55-200mm f4.5-6.3 IS STM
JP2017-167327	Example01P	Panasonic Leica DG Summilux 12mm F1.4 Asph
JP2017-223778	Example01P	Sigma 100-400mm F5-6.3 DG OS HSM C
JP2017-227799	Example01P	Nikon AF-S Nikkor 28mm f/1.4E ED
JP2018-005099	Example04P	Sigma 85mm F1.4 DG HSM A
JP2018-013685	Example01P	Canon EF16-35mm f2.8L III USM
